formula,en,Tc,hf,mass,Ref.
IrW3H,2.296,4.35,0.2,737.8373,doi.org/10.1103/PhysRevLett.132.166001
K2ReH9,1.945,127.1,0.75,29.145,doi.org/10.1039/D2TC02842E
K2ReH9,1.945,8.83,0.75,29.145,doi.org/10.1039/D2TC02842E
K2ReH9,1.945,12.6,0.75,29.145,doi.org/10.1039/D2TC02842E
K2ReH9,1.945,10.94,0.75,29.145,doi.org/10.1039/D2TC02842E
K2ReH9,1.945,12.2,0.75,29.145,doi.org/10.1039/D2TC02842E
KAlH3,1.806,52,0.6,21.8519,doi.org/10.1088/2752-5724/ad4a94
KAlH3,1.806,96,0.6,21.8519,doi.org/10.1002/advs.202408370
KAuH2,1.94,0.3,0.5,117.0972,doi.org/10.1021/jacs.7b04456
KB2H8,2.0455,146,0.7273,7.5295,doi.org/10.1103/PhysRevB.104.L100504
KB2H8,2.0455,154.9,0.7273,7.5295,doi.org/10.1016/j.mtphys.2024.101443
KB2H8,2.0455,124,0.7273,7.5295,doi.org/10.1103/PhysRevB.104.L100504
KB2H8,2.0455,116.3,0.7273,7.5295,doi.org/10.1016/j.mtphys.2024.101443
KB2H8,2.0455,100,0.7273,7.5295,doi.org/10.1103/PhysRevB.105.224107
KB2H8,2.0455,77,0.7273,7.5295,doi.org/10.1016/j.mtphys.2024.101443
KB2H8,2.0455,89.4,0.7273,7.5295,doi.org/10.1016/j.mtphys.2024.101443
KB2H8,2.0455,121.4,0.7273,7.5295,doi.org/10.1016/j.mtphys.2024.101443
KC2H8,2.1382,4.67,0.7273,7.8274,doi.org/10.1002/pssr.202300043
KC2H8,2.1382,9.5,0.7273,7.8274,doi.org/10.1016/j.mtphys.2024.101443
KC2H8,2.1382,42.47,0.7273,7.8274,doi.org/10.1002/pssr.202300043
KC2H8,2.1382,5.1,0.7273,7.8274,doi.org/10.1016/j.mtphys.2024.101443
KC2H8,2.1382,94,0.7273,7.8274,doi.org/10.1002/pssr.202300043
KC2H8,2.1382,10.7,0.7273,7.8274,doi.org/10.1016/j.mtphys.2024.101443
KC2H8,2.1382,22,0.7273,7.8274,doi.org/10.1103/PhysRevB.105.104511
KC2H8,2.1382,59.1,0.7273,7.8274,doi.org/10.1016/j.mtphys.2024.101443
KC2H8,2.1382,53,0.7273,7.8274,doi.org/10.1016/j.mtphys.2024.101443
KCdH3,1.822,12.3,0.6,50.1019,doi.org/10.1002/adma.202307085
KCH4,2.0283,12.7,0.6667,12.6758,doi.org/10.1142/S012918311950061X
KGaH3,1.846,146,0.6,35.9858,doi.org/10.1002/advs.202408370
KGaH3,1.846,98,0.6,35.9858,doi.org/10.1002/advs.202408370
KGaH3,1.846,61,0.6,35.9858,doi.org/10.1002/advs.202408370
KInH3,1.84,72.9,0.6,50.8988,doi.org/10.1002/adfm.202404043
KrSH3,2.436,70,0.6,38.3135,doi.org/10.1007/s11467-018-0818-7
KScH12,2.0414,133,0.8571,6.9489,doi.org/10.1103/PhysRevB.100.174506
KSH3,2,58.8,0.6,23.5311,doi.org/10.1016/j.cjph.2024.02.025
KSH3,2,75,0.6,23.5311,doi.org/10.1016/j.cjph.2024.02.025
KYH14,2.0525,167.1,0.875,9.0706,doi.org/10.1016/j.physleta.2021.127750
KYH8,1.964,111.3,0.8,15.8735,doi.org/10.1016/j.physleta.2021.127750
KYH8,1.964,122,0.8,15.8735,doi.org/10.1016/j.physleta.2021.127750
KYH8,1.964,163.7,0.8,15.8735,doi.org/10.1016/j.physleta.2021.127750
La11N9H2,1.9936,1.11,0.0909,820.4727,doi.org/10.1103/PhysRevB.109.094106
La2B6H5,1.9569,6,0.3846,67.9921,doi.org/10.1038/s41524-021-00691-6
La2MgH12,1.994,24,0.8,24.9773,doi.org/10.1016/j.mtphys.2023.101300
La2MgH12,1.994,30,0.8,24.9773,doi.org/10.1016/j.mtphys.2023.101300
La2MgH12,1.994,32,0.8,24.9773,doi.org/10.1016/j.mtphys.2023.101300
La2N2H,2.096,0,0.2,303.4067,doi.org/10.1038/s41524-021-00691-6
La2N5H2,2.4222,12.08,0.2222,172.5471,doi.org/10.1103/PhysRevB.109.094106
La2NH2,1.928,14.41,0.4,144.7555,doi.org/10.1103/PhysRevB.109.094106
La2NH2,1.928,8.77,0.4,144.7555,doi.org/10.1103/PhysRevB.109.094106
La2ThH12,1.9933,11,0.8,42.1511,doi.org/10.1021/acs.jpcc.3c07213
La2ThH18,2.0524,112.85,0.8571,28.1007,doi.org/10.1039/D3CP05408J
La2YH18,2.0486,270,0.8571,20.212,doi.org/10.1016/j.mattod.2021.03.025
La3MgH16,1.9905,55,0.8,27.3459,doi.org/10.1016/j.mtphys.2023.101300
La3N2H,1.93,0.07,0.1667,441.2143,doi.org/10.1103/PhysRevB.109.094106
La3N4H,2.2075,11.95,0.125,469.006,doi.org/10.1103/PhysRevB.109.094106
La3ThH16,1.99,35,0.8,40.2263,doi.org/10.1021/acs.jpcc.3c07213
La3ThH40,2.1045,210,0.9091,16.0905,doi.org/10.1021/acs.jpcc.3c07213
La4N3H,1.965,1.42,0.125,592.9177,doi.org/10.1103/PhysRevB.109.094106
La4N4H,2.0844,0,0.1111,606.8135,doi.org/10.1038/s41524-021-00691-6
La4N6H,2.2582,14.12,0.0909,634.6052,doi.org/10.1103/PhysRevB.109.094106
La4YH30,2.0463,265,0.8571,21.3144,doi.org/10.1016/j.mattod.2021.03.025
La5N3H2,1.902,2.63,0.2,365.3626,doi.org/10.1103/PhysRevB.109.094106
La5N4H,1.986,1.03,0.1,744.621,doi.org/10.1103/PhysRevB.109.094106
La5NH4,1.734,4.13,0.4,175.7334,doi.org/10.1103/PhysRevB.109.094106
La6N5H,2,2.6,0.0833,896.3244,doi.org/10.1103/PhysRevB.109.094106
La7N6H,2.01,0.94,0.0714,1048.0278,doi.org/10.1103/PhysRevB.109.094106
La8N7H,2.0175,0.49,0.0625,1199.7312,doi.org/10.1103/PhysRevB.109.094106
LaAlH8,2.031,144,0.8,20.5719,doi.org/10.1103/PhysRevLett.128.047001
LaB2H8,2.0709,18.09,0.7273,19.907,doi.org/10.1088/1674-1056/ad7c31
LaB2H8,2.0709,81,0.7273,19.907,doi.org/10.1021/jacs.3c14205
LaB2H8,2.0709,80,0.7273,19.907,doi.org/10.1021/jacs.3c14205
LaB8H,1.962,8,0.1,223.6012,doi.org/10.1038/s41524-021-00691-6
LaBeH8,2.027,191,0.8,18.3435,doi.org/10.1103/PhysRevLett.128.047001
LaBeH8,2.027,144,0.8,18.3435,doi.org/10.1103/PhysRevLett.128.047001
LaBeH8,2.027,110,0.8,18.3435,doi.org/10.1103/PhysRevLett.130.266001
LaBH17,2.1337,180,0.8947,8.7372,doi.org/10.1038/s41524-021-00691-6
LaBH7,2.06,123,0.7778,21.2188,doi.org/10.1103/PhysRevB.110.064105
LaBH7,2.06,93,0.7778,21.2188,doi.org/10.1103/PhysRevB.104.134501
LaBH8,2.074,126,0.8,18.5665,doi.org/10.1103/PhysRevB.104.L020511
LaBH8,2.074,154,0.8,18.5665,doi.org/10.1103/PhysRevB.104.134501
LaBH8,2.074,96,0.8,18.5665,doi.org/10.1103/PhysRevB.104.L020511
LaBH8,2.074,160,0.8,18.5665,doi.org/10.1103/PhysRevLett.128.047001
LaBH8,2.074,96,0.8,18.5665,doi.org/10.1103/PhysRevB.104.134501
LaBH8,2.074,58,0.8,18.5665,doi.org/10.1103/PhysRevB.104.134501
LaBH8,2.074,14,0.8,18.5665,doi.org/10.1038/s41524-021-00691-6
LaC2H8,2.1636,69,0.7273,20.2046,doi.org/10.1039/D1CP03896F
LaC2H8,2.1636,95,0.7273,20.2046,doi.org/10.1039/D1CP03896F
LaC2H8,2.1636,70.9,0.7273,20.2049,doi.org/10.1016/j.mtphys.2024.101443
LaC2H8,2.1636,140,0.7273,20.2046,doi.org/10.1039/D1CP03896F
LaC2H8,2.1636,85.2,0.7273,20.2049,doi.org/10.1016/j.mtphys.2024.101443
LaC2H8,2.1636,94,0.7273,20.2049,doi.org/10.1016/j.mtphys.2024.101443
LaCaH12,2.0357,164,0.8571,14.7973,doi.org/10.1021/acs.jpcc.3c05654
LaCeH12,2.0443,148.8,0.8571,23.0676,doi.org/10.1016/j.mtphys.2023.101233
LaCeH20,2.1009,116.1,0.9091,13.8408,doi.org/10.1016/j.mtphys.2022.100873
LaCeH8,1.982,1.76,0.8,34.6019,doi.org/10.1016/j.mtphys.2022.100873
LaGaH14,2.1069,137,0.875,14.7841,doi.org/10.1038/s41524-021-00691-6
LaGaH15,2.1124,95,0.8824,13.7985,doi.org/10.1038/s41524-021-00691-6
LaGaH6,2.0138,21,0.75,34.4962,doi.org/10.1038/s41524-021-00691-6
LaMg3H28,2.0822,164,0.875,7.5051,doi.org/10.1016/j.mtphys.2023.101300
LaMg3H28,2.0822,157,0.875,7.5051,doi.org/10.1016/j.mtphys.2023.101300
LaMg3H28,2.0822,138,0.875,7.5051,doi.org/10.1016/j.mtphys.2023.101300
LaMgH8,2.001,43,0.8,20.24,doi.org/10.1016/j.mtphys.2023.101300
LaMgH8,2.001,45,0.8,20.24,doi.org/10.1016/j.mtphys.2023.101300
LaMgH8,2.001,38,0.8,20.24,doi.org/10.1016/j.mtphys.2023.101300
LaN2H3,2.2967,1,0.5,55.1997,doi.org/10.1038/s41524-021-00691-6
LaP2H2,1.976,36,0.4,99.6319,doi.org/10.1103/PhysRevB.105.024504
LaPH,1.83,8,0.3333,168.5357,doi.org/10.1103/PhysRevB.105.024504
LaPH6,2.0613,10,0.75,28.0893,doi.org/10.1103/PhysRevB.105.024504
LaPH8,2.089,151,0.8,21.067,doi.org/10.1103/PhysRevLett.128.047001
LaSc2H24,2.097,311,0.8889,9.4586,doi.org/10.1073/pnas.240184012
LaSc2H24,2.097,311,0.8889,9.4586,doi.org/10.1073/pnas.2401840121
LaSc2H24,2.097,316,0.8889,9.4586,doi.org/10.1073/pnas.240184012
LaSc2H24,2.097,325,0.8889,9.4586,doi.org/10.1073/pnas.2401840121
LaSc2H24,2.097,331,0.8889,9.4586,doi.org/10.1073/pnas.240184012
LaSc2H24,2.097,339,0.8889,9.4586,doi.org/10.1073/pnas.2401840121
LaSc2H24,2.097,330,0.8889,9.4586,doi.org/10.1073/pnas.240184012
LaSc2H24,2.097,330,0.8889,9.4586,doi.org/10.1073/pnas.2401840121
LaSc2H24,2.097,294,0.8889,9.4586,doi.org/10.1073/pnas.240184012
LaSc2H24,2.097,294,0.8889,9.4586,doi.org/10.1073/pnas.2401840121
LaSH6,2.11,24,0.75,28.2688,doi.org/10.1103/PhysRevB.100.184502
LaSH6,2.11,35,0.75,28.2688,doi.org/10.1103/PhysRevB.100.184502
LaSH8,2.128,195,0.8,21.2016,doi.org/10.1103/PhysRevLett.128.047001
LaSiH7,2.0444,41.2,0.7778,23.6671,doi.org/10.1103/PhysRevB.110.024513
LaSiH8,2.06,150,0.8,20.7087,doi.org/10.1103/PhysRevLett.128.047001
LaTh2H12,2.0067,1,0.8,49.8504,doi.org/10.1021/acs.jpcc.3c07213
LaTh2H18,2.0619,199,0.8571,33.2336,doi.org/10.1103/PhysRevB.109.224505
LaTh2H18,2.0619,102.5,0.8571,33.2336,doi.org/10.1039/D3CP05408J
LaTh3H16,2.01,3,0.8,51.7752,doi.org/10.1021/acs.jpcc.3c07213
LaTh3H24,2.0643,198,0.8571,34.5168,doi.org/10.1103/PhysRevB.109.224505
LaTh3H24,2.0643,125.29,0.8571,34.5168,doi.org/10.1039/D3CP05408J
LaTh3H24,2.0643,103.04,0.8571,34.5168,doi.org/10.1039/D3CP05408J
LaTh3H40,2.1136,164,0.9091,20.7101,doi.org/10.1021/acs.jpcc.3c07213
LaThH12,2.0571,54.95,0.8571,30.6672,doi.org/10.1039/D3CP05408J
LaThH12,2.0571,231,0.8571,30.6672,doi.org/10.1103/PhysRevB.109.224505
LaThH12,2.0571,217.8,0.8571,30.667,doi.org/10.1016/j.mtphys.2023.101233
LaThH12,2.0571,213.4,0.8571,30.667,doi.org/10.1016/j.mtphys.2023.101233
LaThH12,2.0571,211.2,0.8571,30.667,doi.org/10.1016/j.mtphys.2023.101233
LaThH20,2.1091,179,0.9091,18.4003,doi.org/10.1021/acs.jpcc.3c07213
LaThH8,2,10,0.8,46.0007,doi.org/10.1021/acs.jpcc.3c07213
LaTmH12,2.0536,24,0.8571,25.4497,doi.org/10.1038/s41598-024-61400-z
LaY3H24,2.0557,145,0.8571,16.767,doi.org/10.1021/acs.chemmater.1c02371
LaYH12,2.0514,241,0.8571,18.834,doi.org/10.1016/j.mattod.2021.03.025
LaYH12,2.0514,140,0.8571,18.834,doi.org/10.1021/acs.chemmater.1c02371
LaYH12,2.0514,128,0.8571,18.834,doi.org/10.1021/acs.chemmater.1c02371
LaYH2,1.68,0.47,0.5,113.004,doi.org/10.1088/1674-1056/ad41b8
LaYH2,1.68,1.57,0.5,113.004,doi.org/10.1088/1674-1056/ad41b8
LaYH20,2.1055,300,0.9091,11.3004,doi.org/10.1016/j.mattod.2021.03.025
LaYH3,1.784,0,0.6,75.336,doi.org/10.1088/1674-1056/ad41b8
LaYH3,1.784,55.51,0.6,75.336,doi.org/10.1088/1674-1056/ad41b8
LaYH3,1.784,5.22,0.6,75.336,doi.org/10.1088/1674-1056/ad41b8
LaYH8,1.992,46.96,0.8,28.251,doi.org/10.1088/1674-1056/ad41b8
Li2Au2H,1.848,0.02,0.2,404.5833,doi.org/10.1039/D1CP02781F
Li2AuH2,1.78,20.8,0.4,104.5883,doi.org/10.1002/adfm.202404043
Li2AuH6,1.9667,54,0.6667,34.8628,doi.org/10.1016/j.mtphys.2024.101374
Li2BeH6,1.8589,146,0.6667,3.7854,doi.org/10.1021/acs.jpcc.3c04969
Li2BeH6,1.8589,149,0.6667,3.7854,doi.org/10.1021/acs.jpcc.3c04969
Li2BeH6,1.8589,127,0.6667,3.7854,doi.org/10.1021/acs.jpcc.3c04969
Li2BeH6,1.8589,140,0.6667,3.7854,doi.org/10.1021/acs.jpcc.3c04969
Li2BeH6,1.8589,134,0.6667,3.7854,doi.org/10.1021/acs.jpcc.3c04969
Li2BeH6,1.8589,130,0.6667,3.7854,doi.org/10.1021/acs.jpcc.3c04969
Li2BeH6,1.8589,121,0.6667,3.7854,doi.org/10.1021/acs.jpcc.3c04969
Li2BeH6,1.8589,104,0.6667,3.7854,doi.org/10.1021/acs.jpcc.3c04969
Li2BeH6,1.8589,19,0.6667,3.7854,doi.org/10.1021/acs.jpcc.3c04969
Li2BH6,1.9111,98,0.6667,4.0823,doi.org/10.1103/PhysRevMaterials.1.074803
Li2BH6,1.9111,81,0.6667,4.0823,doi.org/10.1103/PhysRevMaterials.1.074803
Li2CaH16,2.0084,330,0.8421,3.3456,doi.org/10.1021/acs.chemmater.4c01472
Li2CaH17,2.018,205,0.85,3.1488,doi.org/10.1021/acs.chemmater.4c01472
Li2CaH17,2.018,317,0.85,3.1488,doi.org/10.1021/acs.chemmater.4c01472
Li2CaH17,2.018,370,0.85,3.1488,doi.org/10.1021/acs.chemmater.4c01472
Li2CH4,1.9014,3.8,0.5714,6.4214,doi.org/10.1142/S0129183121500327
Li2CuH6,1.8956,86,0.6667,12.8019,doi.org/10.1002/adfm.202404043
Li2CuH6,1.8956,80,0.6667,12.8019,doi.org/10.1016/j.mtphys.2024.101374
Li2LaH17,2.023,156,0.85,8.9163,doi.org/10.1103/PhysRevB.106.024519
Li2LaH17,2.023,118,0.85,8.9163,doi.org/10.1103/PhysRevB.106.024519
Li2MgH16,2.0247,473,0.8421,2.3676,doi.org/10.1103/PhysRevLett.123.097001
Li2MgH16,2.0247,350,0.8421,2.3676,doi.org/10.1103/PhysRevLett.123.097001
Li2MgH16,2.0247,352,0.8421,2.3676,doi.org/10.1103/PhysRevMaterials.6.034801
Li2MgH16,2.0247,175,0.8421,2.3676,doi.org/10.1103/PhysRevLett.123.097001
Li2NaH16,2.0047,258,0.8421,2.2861,doi.org/10.1002/adfm.202418692
Li2NaH16,2.0047,221,0.8421,2.2861,doi.org/10.1002/adfm.202418692
Li2NaH17,2.0145,357,0.85,2.1516,doi.org/10.1002/adfm.202418692
Li2NaH17,2.0145,340,0.85,2.1516,doi.org/10.1002/adfm.202418692
Li2NaH17,2.0145,330,0.85,2.1516,doi.org/10.1002/adfm.202418692
Li2PdH6,1.9289,106.38,0.6667,19.8909,doi.org/10.1063/5.0231618
Li2PdH6,1.9289,84.59,0.6667,19.8909,doi.org/10.1063/5.0231618
Li2PdH6,1.9289,119.86,0.6667,19.8909,doi.org/10.1063/5.0231618
Li2PdH6,1.9289,165.79,0.6667,19.8909,doi.org/10.1063/5.0231618
Li2ScH16,2.0274,281,0.8421,3.6481,doi.org/10.1103/PhysRevB.106.024519
Li2ScH16,2.0274,262,0.8421,3.6481,doi.org/10.1103/PhysRevB.106.024519
Li2ScH17,2.036,36,0.85,3.4335,doi.org/10.1103/PhysRevB.106.024519
Li2ScH17,2.036,94,0.85,3.4335,doi.org/10.1103/PhysRevB.106.024519
Li2ScH20,2.0574,230,0.8696,2.9185,doi.org/10.1103/PhysRevB.106.024519
Li2ScH20,2.0574,242,0.8696,2.9185,doi.org/10.1103/PhysRevB.106.024519
Li2SiH6,1.8956,0,0.6667,6.939,doi.org/10.1063/5.0080880
Li2SiH6,1.8956,43.6,0.6667,6.939,doi.org/10.1063/5.0080880
Li2SiH6,1.8956,56.33,0.6667,6.939,doi.org/10.1063/5.0080880
Li2YH16,2.02,285,0.8421,6.3731,doi.org/10.1103/PhysRevB.106.024519
Li2YH16,2.02,251,0.8421,6.3731,doi.org/10.1103/PhysRevB.106.024519
Li2YH17,2.029,83,0.85,5.9982,doi.org/10.1103/PhysRevB.106.024519
Li2YH17,2.029,108,0.85,5.9982,doi.org/10.1103/PhysRevB.106.024519
Li2YH17,2.029,64,0.85,5.9982,doi.org/10.1103/PhysRevB.106.024519
Li4BeH5,1.649,37.2,0.5,7.2961,doi.org/10.1002/adfm.202404043
Li4Na2H33,2.0097,215,0.8462,2.2168,doi.org/10.1002/adfm.202418692
Li4Na2H33,2.0097,156,0.8462,2.2168,doi.org/10.1002/adfm.202418692
Li4Na2H33,2.0097,135,0.8462,2.2168,doi.org/10.1002/adfm.202418692
Li5MoH11,1.8388,6.5,0.6471,11.7835,doi.org/10.1103/PhysRevB.99.024508
Li6AuH,1.3275,2.79,0.125,236.7163,doi.org/10.1039/D1CP02781F
LiAu2H,2.065,0.06,0.25,397.6984,doi.org/10.1039/D1CP02781F
LiAuH,1.9067,1.3,0.3333,202.2917,doi.org/10.1039/D1CP02781F
LiAuH,1.9067,4.69,0.3333,202.2917,doi.org/10.1039/D1CP02781F
LiBH2,1.855,10,0.5,8.8046,doi.org/10.1016/j.physleta.2020.126525
LiCH4,2.055,3.5,0.6667,4.7001,doi.org/10.1142/S0129183121500327
LiF3H,3.024,0.092,0.2,63.4266,doi.org/10.1063/5.0041490
LiHeH6,2.46,180,0.75,1.8093,doi.org/10.1021/acs.jpcc.4c02467
LiHeH6,2.46,120,0.75,1.8093,doi.org/10.1021/acs.jpcc.4c02467
LiNa3H23,2.0137,323,0.8519,3.2742,doi.org/10.1002/adfm.202418692
LiNa3H23,2.0137,303,0.8519,3.2742,doi.org/10.1002/adfm.202418692
LiP2H14,2.1271,169,0.8235,4.8815,doi.org/10.1021/acs.jpclett.9b03856
LiP2H14,2.1271,125,0.8235,4.8815,doi.org/10.1021/acs.jpclett.9b03856
LiP2H14,2.1271,90,0.8235,4.8815,doi.org/10.1021/acs.jpclett.9b03856
LiPdH2,1.895,43.2,0.5,56.2302,doi.org/10.1002/adma.202307085
LiPH3,1.954,56.3,0.6,12.5377,doi.org/10.1038/s41524-019-0244-6
LiPH4,1.995,0,0.6667,9.4033,doi.org/10.1038/s41524-019-0244-6
LiPH6,2.0463,136.5,0.75,6.2688,doi.org/10.1038/s41524-019-0244-6
LiPH6,2.0463,127.5,0.75,6.2688,doi.org/10.1038/s41524-019-0244-6
LiPH6,2.0463,115.3,0.75,6.2688,doi.org/10.1038/s41524-019-0244-6
LiPH7,2.0633,55.9,0.7778,5.3733,doi.org/10.1038/s41524-019-0244-6
LiScH10,2.0283,75,0.8333,5.1484,doi.org/10.1103/PhysRevB.106.024519
LiSeH4,2.055,74,0.6667,21.3048,doi.org/10.1039/D1CP04963A
LiSeH4,2.055,77,0.6667,21.3048,doi.org/10.1039/D1CP04963A
LiSeH4,2.055,76,0.6667,21.3048,doi.org/10.1039/D1CP04963A
LiSeH6,2.0913,97,0.75,14.2032,doi.org/10.1039/D1CP04963A
LiSeH6,2.0913,111,0.75,14.2032,doi.org/10.1039/D1CP04963A
LiSeH6,2.0913,110,0.75,14.2032,doi.org/10.1039/D1CP04963A
LiSi2H9,2.0483,54,0.75,6.9566,doi.org/10.1103/PhysRevB.102.184103
LiSi2H9,2.0483,44,0.75,6.9566,doi.org/10.1103/PhysRevB.102.184103
LiSi2H9,2.0483,19,0.75,6.9566,doi.org/10.1103/PhysRevB.102.184103
LiSiH4,1.9467,40,0.6667,8.6868,doi.org/10.1103/PhysRevB.102.184103
LiSiH4,1.9467,20,0.6667,8.6868,doi.org/10.1103/PhysRevB.102.184103
LiSiH4,1.9467,15,0.6667,8.6868,doi.org/10.1103/PhysRevB.102.184103
LiSiH8,2.048,77,0.8,4.3434,doi.org/10.1103/PhysRevB.102.184103
LiSiH8,2.048,73,0.8,4.3434,doi.org/10.1103/PhysRevB.102.184103
LiSiH8,2.048,68,0.8,4.3434,doi.org/10.1103/PhysRevB.102.184103
Lu2NH2,1.996,0.2,0.4,180.5293,doi.org/10.1063/5.0151844
Lu2NH3,2.03,10.5,0.5,120.3528,doi.org/10.1038/s41467-023-41005-2
Lu2NH3,2.03,0,0.5,120.3528,doi.org/10.1103/PhysRevB.108.014511
Lu2NH5,2.0725,27,0.625,72.2117,doi.org/10.1063/5.0151844
Lu3N2H3,2.0613,4.9,0.375,182.8452,doi.org/10.1038/s41467-023-41005-2
Lu4NH11,2.02,100,0.6875,64.3837,doi.org/10.1038/s43246-024-00500-9
Lu4NH3,1.84,8.1,0.375,236.0737,doi.org/10.1063/5.0215212
Lu4NH3,1.84,7.5,0.375,236.0737,doi.org/10.1063/5.0215212
Lu4NH3,1.84,4.9,0.375,236.0737,doi.org/10.1063/5.0215212
Lu4NH4,1.88,4.2,0.4444,177.0553,doi.org/10.1103/PhysRevB.108.014511
Lu4NH6,1.9382,2.9,0.5455,118.0369,doi.org/10.1103/PhysRevB.108.014511
Lu4NH6,1.9382,0.12,0.5455,118.0369,doi.org/10.1103/PhysRevB.108.014511
Lu4NH7,1.96,4.2,0.5833,101.1745,doi.org/10.1103/PhysRevB.108.014511
LuBeH8,2.044,355,0.8,22.8153,doi.org/10.1088/0256-307X/40/9/097402
LuBeH8,2.044,293,0.8,22.8153,doi.org/10.1088/0256-307X/40/9/097402
LuBeH8,2.044,269,0.8,22.8153,doi.org/10.1088/0256-307X/40/9/097402
LuBeH8,2.044,274.8,0.8,22.8153,doi.org/10.1088/0256-307X/40/9/097402
LuBeH8,2.044,255,0.8,22.8153,doi.org/10.1088/0256-307X/40/9/097402
LuN4H12,2.3429,33.44,0.7059,19.0971,doi.org/10.1016/j.mtphys.2024.101403
LuN4H12,2.3429,130,0.7059,19.0971,doi.org/10.1016/j.mtphys.2024.101403
LuNH,2.17,16,0.3333,187.4772,doi.org/10.1038/s41467-023-41005-2
LuNH,2.17,18.3,0.3333,187.4772,doi.org/10.1103/PhysRevB.108.014511
LuNH3,2.182,0.3,0.6,62.4924,doi.org/10.1088/1361-648X/ad0a4c
LuTmH12,2.0657,48,0.8571,28.4309,doi.org/10.1038/s41598-024-61400-z
LuYbH12,2.0521,198.4,0.8571,28.7715,doi.org/10.1002/pssb.202400240
Mg2B2H,1.78,23.25,0.2,69.6726,doi.org/10.1103/PhysRevMaterials.7.114802
Mg2CoH6,1.9667,30,0.6667,17.7816,doi.org/10.1016/j.mtphys.2024.101374
Mg2CuH6,1.9689,12.5,0.6667,18.5443,doi.org/10.1016/j.physc.2024.1354571
Mg2IrH6,2.0022,160,0.6667,39.8198,doi.org/10.1103/PhysRevLett.132.166001
Mg2IrH6,2.0022,77,0.6667,39.8198,doi.org/10.1038/s41524-024-01214-9
Mg2IrH6,2.0022,65,0.6667,39.8198,doi.org/10.1016/j.mtphys.2024.101374
Mg2NiH6,1.97,22.7,0.6667,17.7419,doi.org/10.1002/adfm.202404043
Mg2PdH6,2.0022,66.5,0.6667,25.6333,doi.org/10.1038/s41524-024-01214-9
Mg2PtH6,2.0111,80.4,0.6667,40.2927,doi.org/10.1038/s41524-024-01214-9
Mg2PtH6,2.0111,73,0.6667,40.2927,doi.org/10.1016/j.mtphys.2024.101374
Mg2RhH6,2.0111,48.5,0.6667,25.0529,doi.org/10.1038/s41524-024-01214-9
Mg2RhH6,2.0111,59,0.6667,25.0529,doi.org/10.1016/j.mtphys.2024.101374
Mg2ScH10,1.9985,17.94,0.7692,9.2823,doi.org/10.1021/acs.jpcc.1c08743
Mg7NbH16,1.9154,2.7,0.6667,16.3096,doi.org/10.1103/PhysRevB.104.224510
Mg7NbH16,1.9154,6.2,0.6667,16.3096,doi.org/10.1103/PhysRevB.104.224510
Mg7NbH16,1.9154,7,0.6667,16.3096,doi.org/10.1103/PhysRevB.104.224510
MgAsH6,2.0863,85,0.75,16.4066,doi.org/10.1016/j.mtphys.2023.101086
MgAsH6,2.0863,65,0.75,16.4066,doi.org/10.1016/j.mtphys.2023.101086
MgAsH6,2.0863,31,0.75,16.4066,doi.org/10.1016/j.mtphys.2023.101086
MgB2H,1.8975,67,0.25,45.5605,doi.org/10.1103/PhysRevLett.123.077001
MgBH9,2.1045,60,0.8182,3.8707,doi.org/10.1016/j.ijhydene.2022.10.232
MgBH9,2.1045,64,0.8182,3.8707,doi.org/10.1016/j.ijhydene.2022.10.232
MgC2H8,2.1827,55,0.7273,5.9929,doi.org/10.1103/PhysRevB.105.104511
MgC2H8,2.1827,35.2,0.7273,5.9929,doi.org/10.1016/j.mtphys.2024.101443
MgC2H8,2.1827,27.5,0.7273,5.9929,doi.org/10.1016/j.mtphys.2024.101443
MgCaH12,2.0507,288,0.8571,5.3227,doi.org/10.1016/j.jallcom.2020.156434
MgCH4,2.11,88,0.6667,9.0067,doi.org/10.1088/2053-1591/2/4/046001
MgCH4,2.11,121,0.6667,9.0067,doi.org/10.1088/2053-1591/2/4/046001
MgCH4,2.11,85,0.6667,9.0067,doi.org/10.1088/2053-1591/2/4/046001
MgCu3H,1.842,42,0.2,213.2371,doi.org/10.1002/adfm.202304919
MgGeH6,2.065,66.6,0.75,16.0276,doi.org/10.1039/C7CP05267G
MgGeH6,2.065,59.05,0.75,16.0276,doi.org/10.1039/C7CP05267G
MgGeH6,2.065,50.29,0.75,16.0276,doi.org/10.1039/C7CP05267G
MgN2H8,2.2718,5,0.7273,6.488,doi.org/10.1063/5.0127365
MgN2H8,2.2718,105,0.7273,6.488,doi.org/10.1063/5.0127365
MgNiH5,2.0314,25.6,0.7143,16.4679,doi.org/10.1002/er.8705
MgNiH5,2.0314,15.8,0.7143,16.4679,doi.org/10.1002/er.8705
MgNiH5,2.0314,10.7,0.7143,16.4679,doi.org/10.1002/er.8705
MgPH6,2.0875,111,0.75,9.14,doi.org/10.1016/j.mtphys.2023.101086
MgPH6,2.0875,87,0.75,9.14,doi.org/10.1016/j.mtphys.2023.101086
MgPH6,2.0875,68,0.75,9.14,doi.org/10.1016/j.mtphys.2023.101086
MgSc2H9,1.9858,24,0.75,12.5901,doi.org/10.1021/acs.jpcc.1c08743
MgSc2H9,1.9858,6.88,0.75,12.5901,doi.org/10.1021/acs.jpcc.1c08743
